,Color,Runtime,Director Facebook Likes,Actor 1 Facebook Likes,Genres,Title,Number of Voted Users,Cast Total Facebook Likes,Language,Country,Content Rating,Year,IMDb Score,Movie Facebook Likes
2875,Color,93.0,24.0,552.0,Comedy,21 & Over ,60407,2730,English,USA,R,2013,5.9,11000
2260,Color,124.0,0.0,6000.0,Drama,21 Grams ,189683,7567,English,USA,R,2003,7.7,0
1154,Color,109.0,97.0,17000.0,Action|Comedy|Crime,21 Jump Street ,408302,19968,English,USA,R,2012,7.2,39000
1412,Color,123.0,126.0,18000.0,Crime|Drama|Thriller,21 ,191470,25661,English,USA,PG-13,2008,6.8,0
939,Color,112.0,97.0,17000.0,Action|Comedy|Crime,22 Jump Street ,258186,19428,English,USA,R,2014,7.1,24000
4302, Black and White,96.0,222.0,5000.0,Comedy|Drama|Romance|Sport,24 7: Twenty Four Seven ,2081,5535,English,UK,R,1997,7.1,224
3846,Color,108.0,0.0,22000.0,Drama,25th Hour ,149528,26050,English,USA,R,2002,7.7,0
1607,Color,111.0,98.0,2000.0,Comedy|Romance,27 Dresses ,124501,2978,English,USA,PG-13,2008,6.1,0
3363,Color,113.0,0.0,133.0,Drama|Horror|Sci-Fi|Thriller,28 Days Later... ,297250,241,English,UK,R,2002,7.6,11000
1148,Color,103.0,84.0,12000.0,Comedy|Drama,28 Days ,34597,23864,English,USA,PG-13,2000,6.0,0
2656,Color,100.0,35.0,10000.0,Drama|Horror|Sci-Fi,28 Weeks Later ,212167,11471,English,UK,R,2007,7.0,0
4016,Color,96.0,0.0,708.0,Horror|Thriller,2:13 ,961,2307,English,USA,Not Rated,2009,4.8,211
4834,Color,88.0,5.0,795.0,Drama,3 Backyards ,554,1884,English,USA,R,2010,5.2,92
1779,Color,123.0,368.0,933.0,Action|Drama|Thriller,3 Days to Kill ,69355,1286,English,USA,PG-13,2014,6.2,10000
2602,Color,102.0,12000.0,19000.0,Comedy|Drama|Family,3 Men and a Baby ,36918,21499,English,USA,PG,1987,5.9,3000
2283,Color,93.0,18.0,400.0,Action|Comedy|Family,3 Ninjas Kick Back ,6701,1151,English,USA,PG,1994,4.3,444
3910,Color,82.0,69.0,939.0,Comedy,3 Strikes ,1415,3354,English,USA,R,2000,4.0,118
1652,Color,113.0,171.0,430.0,Horror,30 Days of Night ,138435,814,English,USA,R,2007,6.6,0
1773,Color,83.0,181.0,731.0,Action|Comedy|Crime,30 Minutes or Less ,77935,1987,English,Germany,R,2011,6.1,0
4133,Color,80.0,19.0,319.0,Comedy,30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo ,2978,845,English,USA,R,2013,2.6,2000
705,Color,125.0,11.0,11000.0,Action|Comedy|Crime|Thriller,3000 Miles to Graceland ,38076,14536,English,USA,R,2001,5.9,0
261,Color,102.0,263.0,6000.0,Action|Drama|Fantasy|War,300: Rise of an Empire ,225273,10583,English,USA,R,2014,6.2,71000
709,Color,117.0,0.0,18000.0,Action|Drama|Fantasy|War,300 ,607235,32360,English,USA,R,2006,7.7,13000
1052,Color,122.0,446.0,23000.0,Adventure|Crime|Drama|Western,3:10 to Yuma ,237872,33548,English,USA,R,2007,7.8,0
4902,Color,119.0,670.0,24.0,Comedy|Drama|Romance,3 ,4212,69,German,Germany,Not Rated,2010,6.8,2000
4640,Color,113.0,163.0,131.0,Drama,"4 Months, 3 Weeks and 2 Days ",44763,264,Romanian,Romania,Not Rated,2007,7.9,14000
2498,Color,96.0,36.0,1000.0,Comedy|Romance,40 Days and 40 Nights ,62272,3294,English,USA,R,2002,5.6,2000
4786, Black and White,89.0,24.0,610.0,Comedy|Musical|Romance,42nd Street ,7921,995,English,USA,Not Rated,1933,7.7,439
1205,Color,128.0,241.0,11000.0,Biography|Drama|Sport,42 ,66511,16911,English,USA,PG-13,2013,7.5,28000
85,Color,128.0,47.0,18000.0,Action|Adventure|Drama|Fantasy,47 Ronin ,116994,20965,English,USA,PG-13,2013,6.3,35000
3013,Color,113.0,212.0,567.0,Action|Drama|War,5 Days of War ,12128,708,English,Georgia,R,2011,5.6,0
530,Color,99.0,88.0,11000.0,Comedy|Romance,50 First Dates ,266103,12952,English,USA,PG-13,2004,6.8,11000
3368,Color,100.0,129.0,23000.0,Comedy|Drama|Romance,50/50 ,270441,39807,English,USA,R,2011,7.7,40000
3468,Color,95.0,464.0,23000.0,Comedy|Drama|Romance,500 Days of Summer ,376600,54075,English,USA,PG-13,2009,7.7,40000
4818,Color,90.0,0.0,0.0,Documentary,51 Birch Street ,695,0,English,Germany,Not Rated,2005,7.5,70
2872,Color,121.0,15.0,4000.0,Drama|Music,54 ,27675,6910,English,USA,R,1998,5.8,0
2514,Color,154.0,117.0,715.0,Action|Adventure|Drama|History|War,55 Days at Peking ,4550,1567,English,USA,Not Rated,1963,6.8,419
4227,Color,90.0,37.0,210.0,Drama|Thriller,8 Days ,44,210,English,USA,PG-13,2014,6.9,224
4095,Color,95.0,45.0,578.0,Comedy|Crime,8 Heads in a Duffel Bag ,8005,1363,English,USA,R,1997,5.3,417
1177,Color,110.0,161.0,1000.0,Drama|Music,8 Mile ,187181,1954,English,USA,R,2002,7.0,0
3400,Color,111.0,341.0,963.0,Comedy|Crime|Musical|Romance,8 Women ,23660,3543,French,France,R,2002,7.1,0
1689,Color,108.0,50.0,14000.0,Crime|Drama|Mystery|Thriller,88 Minutes ,65628,16722,English,USA,R,2007,5.9,0
4204,Color,80.0,0.0,191.0,Documentary,8: The Mormon Proposition ,1138,210,English,USA,R,2010,7.1,0
1257,Color,123.0,541.0,12000.0,Mystery|Thriller,8MM ,104564,12970,English,Germany,R,1999,6.5,0
3776,Color,121.0,35.0,4000.0,Drama,90 Minutes in Heaven ,2047,6617,English,USA,PG-13,2015,4.6,0
1667,Color,79.0,30.0,940.0,Action|Adventure|Animation|Drama|Mystery|Sci-Fi|Thriller,9 ,111117,1594,English,USA,PG-13,2009,7.1,13000
2446,Color,112.0,213.0,567.0,Drama|Romance,9½ Weeks ,29591,711,English,USA,R,1986,5.9,0
508,Color,135.0,2000.0,1000.0,Biography|Drama,A Beautiful Mind ,610568,2827,English,USA,PG-13,2001,8.2,29000
4372,Color,87.0,9.0,467.0,Comedy|Horror|Thriller,A Beginner's Guide to Snuff ,13,1270,English,USA,Not Rated,2016,8.7,8
3202,Color,98.0,129.0,749.0,Drama|Romance,A Better Life ,13174,2214,English,USA,PG-13,2011,7.2,0
1843, Black and White,175.0,0.0,385.0,Drama|History|War,A Bridge Too Far ,40277,669,English,USA,PG,1977,7.4,0
1095,Color,95.0,487.0,18000.0,Adventure|Animation|Comedy|Family|Fantasy,A Bug's Life ,211226,24205,English,USA,G,1998,7.2,0
4937,Color,25.0,36.0,39.0,Animation|Comedy|Family,A Charlie Brown Christmas ,21826,139,English,USA,TV-G,1965,8.4,0
61,Color,96.0,0.0,18000.0,Animation|Drama|Family|Fantasy,A Christmas Carol ,72809,48878,English,USA,PG,2009,6.8,0
4034,Color,94.0,84.0,662.0,Comedy|Family,A Christmas Story ,104908,2076,English,USA,PG,1983,8.1,18000
2359,Color,95.0,15.0,1000.0,Comedy|Family|Romance,A Cinderella Story ,62861,3092,English,USA,PG,2004,5.9,0
751,Color,115.0,234.0,3000.0,Drama,A Civil Action ,23302,4713,English,USA,PG-13,1998,6.5,1000
2310,Color,99.0,0.0,13000.0,Biography|Drama|Thriller,A Dangerous Method ,80617,23755,English,UK,R,2011,6.5,36000
3513,Color,100.0,0.0,655.0,Drama|Family,A Dog of Flanders ,781,1906,English,USA,PG,1999,6.3,157
4950,Color,88.0,686.0,847.0,Comedy,A Dog's Breakfast ,3262,2364,English,Canada,Not Rated,2007,7.0,377
3755, Black and White,79.0,57.0,998.0,Drama|Romance|War,A Farewell to Arms ,3519,1284,English,USA,Not Rated,1932,6.6,213
1524,Color,138.0,0.0,10000.0,Drama|Thriller,A Few Good Men ,181879,14619,English,USA,R,1992,7.6,0
4630,Unknown,111.0,0.0,657.0,Drama,A Fine Step ,207,2677,Unknown,USA,PG,2014,5.3,212
4897,Color,99.0,0.0,16000.0,Action|Drama|Western,A Fistful of Dollars ,147566,16534,Italian,Italy,R,1964,8.0,0
4337,Color,99.0,44.0,907.0,Comedy|Musical,A Funny Thing Happened on the Way to the Forum ,6804,1807,English,USA,Approved,1966,7.0,805
347,Color,101.0,212.0,13000.0,Action|Thriller,A Good Day to Die Hard ,165618,15481,English,USA,R,2013,5.3,66000
1498,Color,117.0,0.0,883.0,Comedy|Drama|Romance,A Good Year ,70698,3611,English,USA,PG-13,2006,6.9,9000
4167, Black and White,122.0,149.0,760.0,Drama|Fantasy|Romance|War,A Guy Named Joe ,1553,2555,English,USA,Passed,1943,7.0,116
2263,Color,101.0,13.0,651.0,Comedy|Romance,A Guy Thing ,14147,2698,English,USA,PG-13,2003,5.6,401
4719, Black and White,87.0,44.0,785.0,Comedy|Musical,A Hard Day's Night ,31429,2538,English,UK,Approved,1964,7.7,0
3917,Color,86.0,89.0,986.0,Comedy|Fantasy,A Haunted House 2 ,14621,4073,English,USA,R,2014,4.7,0
4180,Color,86.0,89.0,713.0,Comedy|Fantasy,A Haunted House ,34620,3421,English,USA,R,2013,5.1,0
1558,Color,96.0,0.0,10000.0,Crime|Drama|Thriller,A History of Violence ,186606,12754,English,USA,R,2005,7.5,0
3570,Color,97.0,15.0,18000.0,Drama|Romance,A Home at the End of the World ,12049,21107,English,USA,R,2004,6.8,1000
1179,Color,144.0,241.0,13000.0,Action|Adventure|Romance,A Knight's Tale ,137003,18761,English,USA,PG-13,2001,6.9,0
1195, Black and White,128.0,545.0,15000.0,Comedy|Drama|Sport,A League of Their Own ,71754,16751,English,USA,PG,1992,7.2,0
4591,Color,93.0,0.0,20.0,Documentary,A Lego Brickumentary ,1220,28,English,Denmark,G,2014,6.8,0
3955,Color,99.0,7.0,762.0,Action|Adventure|Crime|Thriller,A Lonely Place to Die ,22220,2631,English,UK,R,2011,6.3,0
1943,Color,107.0,13.0,618.0,Comedy|Drama|Romance,A Lot Like Love ,58297,1095,English,USA,PG-13,2005,6.6,0
3124,Color,100.0,322.0,851.0,Action|Comedy|Crime,A Low Down Dirty Shame ,3924,3190,English,USA,R,1994,5.8,368
1899,Color,100.0,0.0,975.0,Comedy|Drama,A Madea Christmas ,4265,3202,English,USA,PG-13,2013,4.7,0
1388,Color,109.0,473.0,14000.0,Action|Crime|Drama|Thriller,A Man Apart ,38348,16611,English,USA,R,2003,6.1,0
3968,Color,120.0,160.0,559.0,Biography|Drama|History,A Man for All Seasons ,23713,1238,English,UK,Approved,1966,7.9,2000
2706,Color,108.0,187.0,11000.0,Biography|Drama|History|Thriller|War,A Mighty Heart ,24150,12178,English,USA,R,2007,6.7,923
3602,Color,91.0,378.0,658.0,Comedy|Music,A Mighty Wind ,22408,1660,English,USA,PG-13,2003,7.3,0
1267,Color,136.0,3000.0,14000.0,Comedy|Western,A Million Ways to Die in the West ,136093,28927,English,USA,R,2014,6.1,24000
1326,Color,90.0,10.0,1000.0,Adventure|Animation|Comedy|Fantasy|Music|Romance,A Monster in Paris ,15790,3243,French,France,PG,2011,6.8,0
2316,Color,125.0,78.0,1000.0,Action|Crime|Drama|Thriller,A Most Violent Year ,45799,3979,English,USA,R,2014,7.0,0
2683,Color,122.0,210.0,22000.0,Crime|Drama|Thriller,A Most Wanted Man ,57210,22574,English,UK,R,2014,6.8,13000
2500,Color,82.0,12.0,8000.0,Comedy|Music|Romance,A Night at the Roxbury ,48458,9271,English,USA,PG-13,1998,6.2,0
4056,Color,87.0,28.0,426.0,Fantasy|Horror,A Nightmare on Elm Street 2: Freddy's Revenge ,43485,1472,English,USA,R,1985,5.4,0
3703,Color,88.0,55.0,506.0,Action|Fantasy|Horror|Thriller,A Nightmare on Elm Street 3: Dream Warriors ,49820,1584,English,USA,X,1987,6.6,0
2839,Color,99.0,212.0,130.0,Fantasy|Horror|Thriller,A Nightmare on Elm Street 4: The Dream Master ,36108,450,English,USA,R,1988,5.7,0
3593, Black and White,89.0,81.0,321.0,Fantasy|Horror|Romance|Thriller,A Nightmare on Elm Street 5: The Dream Child ,29659,584,English,USA,X,1989,5.1,1000
1420,Color,101.0,0.0,40000.0,Horror,A Nightmare on Elm Street ,149285,42918,English,USA,X,1984,7.5,10000
1799,Color,164.0,767.0,358.0,Adventure|Drama|History,A Passage to India ,12980,1334,English,UK,PG,1984,7.4,845
2789,Color,108.0,123.0,26000.0,Adventure|Mystery|Thriller,A Perfect Getaway ,56338,41359,English,USA,R,2009,6.5,4000
1977,Color,104.0,8.0,172.0,Comedy|Romance,A Perfect Plan ,5525,210,French,France,Not Rated,2012,6.3,853
5040,Color,76.0,0.0,0.0,Drama|Horror|Thriller,A Plague So Pleasant ,38,0,English,USA,Not Rated,2013,6.3,16
3135,Color,105.0,500.0,11000.0,Comedy|Drama|Music,A Prairie Home Companion ,19655,12946,English,USA,PG-13,2006,6.8,683
3689,Color,90.0,222.0,5000.0,Comedy|Drama,A Room for Romeo Brass ,4471,6111,English,UK,R,1999,7.7,484
4057,Color,117.0,133.0,687.0,Drama|Romance,A Room with a View ,29610,1665,English,UK,Not Rated,1985,7.4,0
2311,Color,100.0,0.0,21000.0,Animation|Drama|Mystery|Sci-Fi|Thriller,A Scanner Darkly ,89383,39507,English,USA,R,2006,7.1,0
4659,Color,123.0,0.0,786.0,Drama|Mystery,A Separation ,151812,2501,Persian,Iran,PG-13,2011,8.4,48000
3496,Color,106.0,1000.0,816.0,Comedy|Drama,A Serious Man ,102125,1120,English,USA,R,2009,7.0,10000
3648,Color,101.0,24.0,933.0,Drama|Family,A Shine of Rainbows ,1696,1940,English,Canada,PG,2009,7.2,1000
2509,Color,121.0,0.0,989.0,Crime|Drama|Thriller,A Simple Plan ,50656,2365,English,UK,R,1998,7.5,0
1786,Color,89.0,23.0,1000.0,Comedy|Family|Fantasy,A Simple Wish ,4288,5535,English,USA,PG,1997,5.4,517
3500,Color,99.0,192.0,14000.0,Drama|Romance,A Single Man ,83182,14816,English,USA,R,2009,7.6,16000
505,Color,102.0,0.0,1000.0,Action|Adventure|Horror|Sci-Fi|Thriller,A Sound of Thunder ,16474,1890,English,UK,PG-13,2005,4.2,785
4358, Black and White,125.0,603.0,10000.0,Drama,A Streetcar Named Desire ,78454,10570,English,USA,PG,1951,8.0,5000
3022,Color,130.0,3.0,215.0,Drama,A Tale of Three Cities ,117,244,Chinese,China,Not Rated,2015,6.2,4
3367,Color,108.0,0.0,585.0,Comedy|Crime|Drama|Romance|Thriller,A Thin Line Between Love and Hate ,3122,3023,English,USA,R,1996,5.6,559
1315,Color,91.0,48.0,61.0,Comedy|Drama,A Thousand Words ,30842,222,English,USA,PG-13,2012,5.9,0
1192,Color,149.0,541.0,18000.0,Crime|Drama|Thriller,A Time to Kill ,99558,31349,English,USA,R,1996,7.4,0
4996,Color,96.0,117.0,948.0,Comedy,A True Story ,181,2058,English,USA,Not Rated,2013,5.5,72
2006,Color,88.0,4.0,783.0,Adventure|Animation|Family,A Turtle's Tale: Sammy's Adventures ,5385,3874,English,France,PG,2010,6.1,0
2215,Color,90.0,12.0,786.0,Adventure|Comedy,A Very Harold & Kumar 3D Christmas ,55008,2462,English,USA,R,2011,6.3,21000
889,Color,133.0,0.0,226.0,Drama|Mystery|Romance|War,A Very Long Engagement ,62607,405,French,France,R,2004,7.7,0
1634,Color,131.0,46.0,1000.0,Action|Adventure|Thriller,A View to a Kill ,68565,2943,English,UK,PG,1985,6.3,0
1836,Color,114.0,71.0,14000.0,Crime|Drama|Mystery|Thriller,A Walk Among the Tombstones ,87950,15428,English,USA,R,2014,6.5,15000
2805,Color,107.0,956.0,10000.0,Drama,A Walk on the Moon ,6782,10368,English,USA,R,1999,6.6,860
3037,Color,101.0,163.0,683.0,Drama|Romance,A Walk to Remember ,162701,2436,English,USA,PG,2002,7.4,19000
1731,Color,85.0,0.0,114.0,Adventure|Animation|Fantasy,A Warrior's Tail ,393,229,Russian,Russia,Not Rated,2015,4.1,161
3007,Color,95.0,611.0,9.0,Comedy|Drama,"A Woman, a Gun and a Noodle Shop ",2410,18,Mandarin,China,R,2009,5.7,784
373,Color,146.0,14000.0,3000.0,Adventure|Drama|Sci-Fi,A.I. Artificial Intelligence ,238747,6217,English,USA,PG-13,2001,7.1,11000
4351,Color,160.0,168.0,733.0,Drama|Musical,ABCD (Any Body Can Dance) ,5018,1182,Hindi,India,Not Rated,2013,6.4,1000
2506,Color,105.0,49.0,680.0,Comedy|Crime|Drama|Music|Romance,ATL ,8522,1538,English,USA,PG-13,2006,6.0,874
596,Color,109.0,545.0,886.0,Action|Horror|Sci-Fi|Thriller,AVP: Alien vs. Predator ,143628,3222,English,USA,PG-13,2004,5.6,0
4139,Color,82.0,9.0,904.0,Thriller,AWOL-72 ,520,4092,English,USA,R,2015,3.9,398
4354,Color,86.0,0.0,42.0,Drama,Abandoned ,333,90,English,New Zealand,Not Rated,2015,6.3,213
1982,Color,99.0,79.0,16000.0,Drama|Music|Mystery|Romance|Thriller,Abandon ,7909,28987,English,USA,PG-13,2002,4.9,261
1469,Color,106.0,309.0,327.0,Action|Mystery|Thriller,Abduction ,65044,561,English,USA,PG-13,2011,5.0,13000
3571,Color,106.0,19.0,844.0,Drama,Aberdeen ,2601,846,English,UK,Not Rated,2000,7.3,260
2844,Color,100.0,38.0,833.0,Comedy|Romance,About Last Night ,16979,2800,English,USA,R,2014,6.1,0
1613,Color,125.0,729.0,442.0,Comedy|Drama,About Schmidt ,107557,1556,English,USA,R,2002,7.2,0
2973,Color,123.0,628.0,565.0,Drama|Fantasy|Romance,About Time ,202341,1595,English,UK,R,2013,7.8,105000
1810,Color,101.0,129.0,66.0,Comedy|Drama|Romance,About a Boy ,144021,74,English,UK,PG-13,2002,7.1,0
643,Color,105.0,335.0,3000.0,Action|Fantasy|Horror,Abraham Lincoln: Vampire Hunter ,128629,8281,English,USA,R,2012,5.9,98000
4983,Color,87.0,59.0,35.0,Drama|Horror|Mystery,Absentia ,13065,97,English,USA,R,2011,5.8,3000
973,Color,121.0,16000.0,16000.0,Action|Crime|Drama|Thriller,Absolute Power ,39529,19139,English,USA,R,1997,6.7,1000
1862,Color,100.0,737.0,15000.0,Comedy|Romance,Accidental Love ,5006,19068,English,USA,PG-13,2015,4.0,0
2924,Color,78.0,293.0,759.0,Comedy,Ace Ventura: Pet Detective ,216486,2462,English,USA,PG-13,1994,6.9,0
1597,Color,90.0,176.0,531.0,Adventure|Comedy,Ace Ventura: When Nature Calls ,160321,2203,English,USA,PG-13,1995,6.3,0
1113,Color,133.0,278.0,5000.0,Drama|Fantasy|Musical|Romance,Across the Universe ,91860,5405,English,USA,PG-13,2007,7.4,14000
2927,Color,110.0,16.0,93.0,Action|Adventure|Drama|Thriller|War,Act of Valor ,57996,146,English,USA,R,2012,6.5,15000
3484,Color,96.0,22.0,1000.0,Action|Comedy|Crime|Thriller,Action Jackson ,7569,5282,English,USA,R,1988,5.2,978
3249,Color,106.0,261.0,30000.0,Drama|War,Adam Resurrected ,3075,31325,English,Germany,R,2008,6.3,589
4042,Color,99.0,6.0,828.0,Drama|Romance,Adam ,29239,1936,English,USA,PG-13,2009,7.2,0
2386,Color,81.0,0.0,12000.0,Comedy|Drama,Adaptation. ,143251,25489,English,USA,R,2002,7.7,0
3731,Color,106.0,23.0,1000.0,Drama|Thriller,Addicted ,5975,2840,Spanish,USA,R,2014,5.2,0
2878,Color,107.0,80.0,2000.0,Comedy|Drama|Romance,Admission ,28573,3004,English,USA,PG-13,2013,5.7,5000
3947,Color,112.0,105.0,18000.0,Drama|Romance,Adore ,23334,25269,English,Australia,R,2013,6.2,0
4699,Color,91.0,0.0,696.0,Crime|Drama|Thriller,Adulterers ,514,1210,English,USA,Not Rated,2015,4.9,158
3258,Color,107.0,99.0,17000.0,Comedy|Drama|Romance,Adventureland ,131180,18983,English,USA,R,2009,6.8,0
197,Color,100.0,0.0,10000.0,Action|Adventure|Sci-Fi,After Earth ,158720,14168,English,USA,PG-13,2013,4.9,37000
830,Color,97.0,420.0,4000.0,Action|Comedy|Crime|Drama,After the Sunset ,38298,9814,English,USA,PG-13,2004,6.3,782
3865,Color,104.0,0.0,14000.0,Drama|Horror|Mystery|Thriller,After.Life ,30836,15860,English,USA,R,2009,5.9,7000
4703,Color,90.0,4.0,523.0,Fantasy|Horror|Mystery|Thriller,After ,3699,1553,English,USA,PG-13,2012,5.4,1000
1335,Color,110.0,534.0,865.0,Biography|Drama|Romance|Sport,Against the Ropes ,5917,2972,English,USA,PG-13,2004,5.3,177
4377,Color,90.0,15.0,900.0,Adventure|Family,Against the Wild ,840,1724,English,Canada,PG,2013,4.7,326
1853,Color,100.0,8.0,1000.0,Action|Adventure|Comedy|Family|Romance|Sci-Fi,Agent Cody Banks 2: Destination London ,11092,3742,English,USA,PG,2004,4.5,167
1904,Color,102.0,91.0,1000.0,Action|Adventure|Comedy|Crime|Family|Romance|Thriller,Agent Cody Banks ,26755,3037,English,USA,PG,2003,5.0,542
636,Color,141.0,448.0,614.0,Adventure|Drama|History|Romance,Agora ,52496,1829,English,Spain,R,2009,7.2,29000
3546,Color,125.0,4.0,177.0,Biography|Drama|Romance|War,Aimee & Jaguar ,5153,333,German,Germany,Not Rated,1999,7.3,687
4063,Color,98.0,188.0,2000.0,Comedy|Drama|Family|Sport,Air Bud ,12942,4277,English,USA,PG,1997,5.1,902
399,Color,124.0,249.0,11000.0,Action|Adventure|Drama|Thriller,Air Force One ,146134,23603,English,USA,R,1997,6.4,0
4511,Color,91.0,38.0,584.0,Adventure|Comedy|Sport,Airborne ,5061,1218,English,USA,PG,1993,6.2,0
3870,Color,130.0,6.0,85.0,Action|Drama|History|Thriller|War,Airlift ,30977,151,Hindi,India,Not Rated,2016,8.5,10000
3985,Color,88.0,104.0,628.0,Comedy,Airplane! ,160281,2726,English,USA,PG,1980,7.8,16000
4580,Color,124.0,13.0,20.0,Crime|Drama,Ajami ,4999,42,Arabic,Germany,Not Rated,2009,7.4,0
3379,Color,112.0,3.0,876.0,Drama,Akeelah and the Bee ,15337,2832,English,USA,PG,2006,7.5,0
3423,Color,124.0,78.0,6.0,Action|Animation|Sci-Fi,Akira ,106160,28,Japanese,Japan,R,1988,8.1,0
1747,Color,90.0,63.0,49000.0,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Aladdin ,260939,52970,English,USA,G,1992,8.0,0
3453,Color,113.0,127.0,3000.0,Drama,Albert Nobbs ,19616,4370,English,UK,R,2011,6.7,0
3788,Color,97.0,18000.0,10000.0,Crime|Drama|Thriller,Albino Alligator ,6632,13718,English,USA,R,1996,6.1,225
1696,Color,96.0,0.0,372.0,Comedy|Romance,Alex & Emma ,11520,977,English,USA,PG-13,2003,5.6,625
1461,Color,101.0,357.0,907.0,Action|Crime|Mystery|Thriller,Alex Cross ,28257,2471,English,USA,PG-13,2012,5.1,11000
1318,Color,93.0,13.0,15000.0,Action|Adventure|Family|Thriller,Alex Rider: Operation Stormbreaker ,20201,15638,English,Germany,PG,2006,5.1,823
1775,Color,81.0,44.0,35000.0,Comedy|Family,"Alexander and the Terrible, Horrible, No Good, Very Bad Day ",29738,47677,English,USA,PG,2014,6.2,12000
4272, Black and White,106.0,85.0,480.0,Drama|Musical|Romance,Alexander's Ragtime Band ,1381,1833,English,USA,Approved,1938,7.0,60
